product_id,sku,product_name,category_main,category_sub,department,brand,supplier_id,supplier_name,unit_price,cost_price,unit_measure,barcode,organic,local,artisan,luxury,premium,attributes,stock_level,dimensions_cm,weight_kg,margin_percent,inventory_status,popularity_score,seasonality
ITM_001,ORG_KALE_MASSAGE_200G,Organic Massaged Kale 200g,Produce,Leafy Greens,Fresh Foods,Urban Harvest,SUP_URBAN_HARVEST_001,Urban Harvest Co.,5.99,3.80,package,0123456789001,TRUE,FALSE,FALSE,FALSE,FALSE,organic,245,20x15x5,0.20,36.6,In Stock,8.5,Year-Round
ITM_002,SMKD_SALMON_8OZ,Wild Alaskan Smoked Salmon 8oz,Seafood,Smoked Fish,Deli,Pacific Northwest,SUP_PACIFIC_NW_002,Pacific Northwest Seafood,24.99,16.00,package,0123456789002,FALSE,FALSE,FALSE,FALSE,TRUE,premium,58,25x15x3,0.23,36.0,Low Stock,9.2,Year-Round
ITM_003,CHM_DOM_750ML,Dom Pérignon Vintage Champagne 750ml,Alcohol,Champagne,Liquor,Dom Pérignon,SUP_LUXURY_WINES_003,Luxury Wine Imports,299.99,210.00,bottle,0123456789003,FALSE,FALSE,FALSE,TRUE,FALSE,luxury,42,30x10x10,1.65,30.0,In Stock,9.8,Holiday Peak
ITM_004,TRF_WHITE_1OZ,White Alba Truffle 1oz,Gourmet,Truffles,Specialty Foods,Piedmont Delicacies,SUP_PIEDMONT_004,Piedmont Italian Imports,189.99,135.00,ounce,0123456789004,FALSE,FALSE,FALSE,TRUE,FALSE,"luxury,imported",15,10x10x5,0.03,28.9,Limited,9.5,Oct-Jan
ITM_005,CAV_BELUGA_50G,Beluga Caviar 50g,Gourmet,Caviar,Specialty Foods,Imperial Sturgeon,SUP_IMPERIAL_005,Imperial Caviar House,449.99,320.00,tin,0123456789005,FALSE,FALSE,FALSE,TRUE,FALSE,"luxury,imported",28,15x10x5,0.05,28.9,In Stock,9.7,Holiday Peak
ITM_006,WIN_OPUS_750ML,Opus One Napa Valley 2019,Alcohol,Premium Wine,Wine Cellar,Opus One,SUP_OPUS_ONE_006,Opus One Winery,425.00,300.00,bottle,0123456789006,FALSE,FALSE,FALSE,TRUE,FALSE,"luxury,vintage",67,30x10x10,1.50,29.4,In Stock,9.4,Year-Round
ITM_007,LOC_MILK_1GAL,Local Organic Whole Milk 1 Gallon,Dairy,Milk,Refrigerated,Prairie Farm Organic,SUP_PRAIRIE_FARM_007,Prairie Farm Dairy,6.99,4.50,gallon,0123456789007,TRUE,TRUE,FALSE,FALSE,FALSE,"organic,local",385,25x15x30,3.88,35.6,In Stock,8.8,Year-Round
ITM_008,BRD_ARTISAN_SOURD,Artisan Sourdough Bread,Bakery,Artisan Bread,Fresh Bakery,Chicago Bread Works,SUP_CHI_BREAD_008,Chicago Bread Works,4.99,2.80,loaf,0123456789008,FALSE,TRUE,TRUE,FALSE,FALSE,"local,artisan",156,35x12x10,0.90,43.9,Fresh Daily,9.0,Year-Round
ITM_009,COF_CHI_ROAST_12OZ,Chicago Dark Roast Coffee 12oz,Beverages,Coffee,Grocery,Windy City Roasters,SUP_WINDY_ROAST_009,Windy City Coffee Roasters,12.99,8.00,bag,0123456789009,FALSE,TRUE,FALSE,FALSE,FALSE,"local,fair_trade",234,20x10x8,0.34,38.4,In Stock,8.7,Year-Round
ITM_010,SMT_ACAI_16OZ,Tropical Acai Smoothie Bowl 16oz,Fresh Prepared,Smoothie Bowls,Prepared Foods,Beach Bowl Co,SUP_BEACH_BOWL_010,Beach Bowl Company,14.99,8.50,bowl,0123456789010,TRUE,FALSE,FALSE,FALSE,FALSE,"organic,fresh_made",0,15x15x8,0.45,43.3,Made to Order,9.1,Year-Round
ITM_011,JUI_GRNS_20OZ,Cold-Pressed Green Juice 20oz,Beverages,Fresh Juice,Refrigerated,Miami Green,SUP_MIAMI_GREEN_011,Miami Green Juice Co,8.99,5.50,bottle,0123456789011,TRUE,FALSE,FALSE,FALSE,FALSE,"organic,cold_pressed",145,8x8x20,0.60,38.8,In Stock,8.9,Year-Round
ITM_012,SNK_CHIA_BAR,Coconut Chia Energy Bar,Health Foods,Energy Bars,Health & Wellness,Tropical Fuel,SUP_TROPICAL_FUEL_012,Tropical Fuel Foods,3.49,2.10,bar,0123456789012,TRUE,FALSE,FALSE,FALSE,FALSE,"organic,vegan",567,12x5x2,0.08,39.8,In Stock,8.3,Year-Round
ITM_013,COF_PIKE_12OZ,Pike Place Signature Roast 12oz,Beverages,Artisan Coffee,Specialty Beverages,Pike Roasters,SUP_PIKE_ROAST_013,Pike Place Roasters,16.99,10.50,bag,0123456789013,FALSE,TRUE,FALSE,FALSE,FALSE,"local,small_batch",187,20x10x8,0.34,38.2,In Stock,9.2,Year-Round
ITM_014,CHZ_BEECHER_8OZ,Beecher's Flagship Cheese 8oz,Dairy,Artisan Cheese,Specialty Dairy,Beecher's,SUP_BEECHERS_014,Beecher's Handmade Cheese,12.99,8.00,wedge,0123456789014,FALSE,TRUE,TRUE,FALSE,FALSE,"local,artisan",94,15x10x5,0.23,38.4,In Stock,9.0,Year-Round
ITM_015,FIS_SALMON_1LB,Wild Pacific Salmon Fillet 1lb,Seafood,Fresh Fish,Fresh Seafood,Pacific Catch,SUP_PACIFIC_CATCH_015,Pacific Northwest Fisheries,18.99,12.50,pound,0123456789015,FALSE,FALSE,FALSE,FALSE,FALSE,"wild_caught,sustainable",78,30x15x3,0.45,34.2,Fresh Daily,9.3,May-Sep
